game_id,reporter_id,player1_id,player2_id,player3_id,player4_id,points,score1,score2,serving_team,created_at,notes,circuit_id
129,2,6,14,1,30,21,,,,2019-10-11 16:39:17.275287,,5
130,2,6,14,1,30,21,,,,2019-10-11 16:39:17.452098,,5
131,2,6,30,1,14,21,,,,2019-10-11 16:40:36.847527,,5
132,2,6,30,1,14,21,,,,2019-10-11 16:40:37.148314,,5
133,2,1,14,6,30,21,,,,2019-10-11 16:40:37.357287,,5
134,2,19,2,1,16,21,,,,2019-10-11 18:32:24.682102,,5
135,2,19,2,1,16,21,,,,2019-10-11 18:32:24.95495,,5
136,2,19,2,1,16,21,,,,2019-10-11 18:32:25.090521,,5
137,2,19,2,1,16,21,,,,2019-10-11 18:32:25.223795,,5
138,2,19,2,1,16,21,,,,2019-10-11 18:32:25.361172,,5
139,2,1,2,3,9,21,,,,2019-10-11 21:16:46.129093,,5
140,2,3,9,1,2,21,,,,2019-10-11 21:16:46.463873,,5
141,2,3,9,1,2,21,,,,2019-10-11 21:16:46.604991,,5
142,2,6,19,18,1,21,,,,2019-10-14 17:55:57.377702,,5
143,2,6,19,18,1,21,,,,2019-10-14 17:55:57.697653,,5
144,2,6,19,18,1,21,,,,2019-10-14 17:55:57.846297,,5
145,2,18,1,16,15,21,,,,2019-10-14 21:26:40.30863,,5
146,2,18,1,16,15,21,,,,2019-10-14 21:26:40.652331,,5
147,2,18,1,16,15,21,,,,2019-10-14 21:26:40.809519,,5
148,2,18,1,16,15,21,,,,2019-10-14 21:26:40.978899,,5
149,2,18,1,16,6,21,,,,2019-10-14 21:26:53.330398,,5
150,2,1,18,6,10,21,,,,2019-10-15 17:35:51.29044,,5
151,2,6,10,1,18,21,,,,2019-10-15 17:35:51.872536,,5
152,2,18,7,1,6,21,,,,2019-10-15 17:50:57.045039,,5
153,2,18,7,1,6,21,,,,2019-10-15 17:50:57.335508,,5
154,2,1,8,3,30,21,,,,2019-10-15 20:27:36.206915,,5
155,2,1,8,3,30,21,,,,2019-10-15 20:27:36.484707,,5
156,2,1,8,3,30,21,,,,2019-10-15 20:27:36.621495,,5
157,2,3,30,1,8,21,,,,2019-10-15 20:27:36.772502,,5
158,2,16,19,29,10,21,,,,2019-10-15 20:32:36.272413,,5
159,2,16,19,29,10,21,,,,2019-10-15 20:32:36.469735,,5
160,2,7,19,14,12,21,,,,2019-10-15 21:24:09.620185,,5
161,2,14,12,7,19,21,,,,2019-10-15 21:24:10.079755,,5
162,2,7,19,14,12,21,,,,2019-10-15 21:24:10.221412,,5
163,2,7,19,1,12,21,,,,2019-10-15 21:24:35.731167,,5
164,2,1,12,7,14,21,,,,2019-10-15 21:41:14.641086,,5
165,2,7,14,1,12,21,,,,2019-10-15 21:41:14.821812,,5
166,2,1,14,7,12,21,,,,2019-10-15 21:51:00.727649,,5
167,2,1,30,7,35,21,,,,2019-10-16 20:54:48.719495,,5
168,2,1,30,7,35,21,,,,2019-10-16 20:54:48.953529,,5
169,2,7,35,1,30,21,,,,2019-10-16 20:54:49.133868,,5
170,2,14,16,15,29,21,,,,2019-10-17 14:13:20.42643,,5
171,2,14,16,15,29,21,,,,2019-10-17 14:13:20.917798,,5
172,2,14,16,15,29,21,,,,2019-10-17 14:13:21.080475,,5
173,2,1,19,7,30,21,,,,2019-10-17 16:29:37.430438,,5
174,2,1,19,7,30,21,,,,2019-10-17 16:29:38.008423,,5
175,2,1,19,7,30,21,,,,2019-10-17 16:29:38.15257,,5
176,2,1,19,7,30,21,,,,2019-10-17 16:29:38.302363,,5
177,2,1,19,30,12,21,,,,2019-10-17 19:35:04.724997,,5
178,2,24,30,12,14,21,,,,2019-10-17 21:32:40.114427,,5
179,2,24,30,12,14,21,,,,2019-10-17 21:32:40.577886,,5
